
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
       mean_data_4[1]      3.69      0.00      3.69      3.69      3.69      7.51      1.00
       mean_data_4[2]      3.27      0.00      3.27      3.27      3.27      7.57      1.27
       mean_data_4[3]      0.24      0.00      0.24      0.24      0.24      2.63      2.46
       mean_data_4[4]     -0.00      0.00     -0.00     -0.00     -0.00      7.79      1.07
       mean_data_4[5]      0.04      0.00      0.04      0.04      0.04      2.56      2.51
       mean_data_4[6]      0.06      0.00      0.06      0.06      0.06      6.43      1.27
       mean_data_4[7]      0.03      0.00      0.03      0.03      0.03      3.73      1.51
       mean_data_5[0]      1.77      0.00      1.77      1.77      1.77      9.65      1.29
       mean_data_5[1]      3.49      0.00      3.49      3.49      3.49      9.64      1.13
       mean_data_5[2]     -1.62      0.00     -1.62     -1.62     -1.62      3.50      1.53
       mean_data_5[3]     -0.22      0.00     -0.22     -0.22     -0.22      2.97      1.92
       mean_data_5[4]      0.43      0.00      0.43      0.43      0.43      4.72      0.99
       mean_data_5[5]      0.22      0.00      0.22      0.22      0.22      4.55      1.10
       mean_data_5[6]      0.48      0.00      0.48      0.48      0.48      4.04      1.04
       mean_data_5[7]     -0.09      0.00     -0.09     -0.09     -0.09      5.80      1.29
       mean_data_6[0]      1.63      0.00      1.63      1.63      1.63      5.66      1.14
       mean_data_6[1]      3.63      0.00      3.63      3.63      3.63      4.15      0.99
       mean_data_6[2]     -1.35      0.00     -1.35     -1.35     -1.35      2.90      2.12
       mean_data_6[3]     -0.04      0.00     -0.04     -0.04     -0.04      2.92      2.26
       mean_data_6[4]     -0.25      0.00     -0.25     -0.25     -0.25      3.09      1.93
       mean_data_6[5]     -0.14      0.00     -0.14     -0.14     -0.14      3.98      1.61
       mean_data_6[6]     -0.26      0.00     -0.26     -0.26     -0.26      8.99      1.20
       mean_data_6[7]      0.08      0.00      0.08      0.08      0.08      4.17      1.78
                 mu_1      0.03      0.00      0.03      0.03      0.03      4.28      1.52
                 mu_2      0.00      0.00      0.00      0.00      0.00      2.55      2.43

Number of divergences: 0
