
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
       mean_data_4[4]     -0.11      0.00     -0.11     -0.11     -0.10    158.65      0.99
       mean_data_4[5]     -0.00      0.00     -0.00     -0.01     -0.00    361.64      0.99
       mean_data_4[6]     -0.02      0.00     -0.02     -0.02     -0.01    305.33      0.99
       mean_data_4[7]     -0.01      0.00     -0.01     -0.02     -0.01    158.36      1.01
       mean_data_5[0]     -0.73      0.00     -0.73     -0.74     -0.72    288.96      1.01
       mean_data_5[1]      1.44      0.00      1.44      1.44      1.44    340.99      0.99
       mean_data_5[2]      1.07      0.00      1.07      1.06      1.07    263.92      1.00
       mean_data_5[3]     -0.01      0.00     -0.01     -0.02     -0.01    351.29      0.99
       mean_data_5[4]      0.00      0.00      0.00     -0.00      0.01    213.49      1.00
       mean_data_5[5]      0.00      0.00      0.00     -0.00      0.01    425.04      0.99
       mean_data_5[6]     -0.01      0.00     -0.01     -0.01     -0.01    256.83      0.99
       mean_data_5[7]     -0.00      0.00     -0.00     -0.01      0.00    318.57      1.01
       mean_data_6[0]      6.85      0.00      6.85      6.85      6.86    367.09      0.99
       mean_data_6[1]     -0.65      0.00     -0.65     -0.66     -0.65    266.35      0.99
       mean_data_6[2]      0.29      0.00      0.29      0.29      0.30    393.66      0.99
       mean_data_6[3]     -0.04      0.00     -0.04     -0.04     -0.04    233.52      1.00
       mean_data_6[4]     -0.00      0.00     -0.00     -0.00      0.00    343.80      0.99
       mean_data_6[5]      0.01      0.00      0.01      0.01      0.01    180.39      0.99
       mean_data_6[6]     -0.01      0.00     -0.01     -0.01     -0.01   1088.86      0.99
       mean_data_6[7]      0.00      0.00      0.00     -0.00      0.01    241.72      0.99
                 mu_1      3.27      0.05      3.25      3.21      3.36      2.67      2.73
                 mu_2      2.36      0.03      2.36      2.31      2.41      6.94      1.23
                 mu_3      1.32      0.07      1.30      1.22      1.43      2.60      2.42
                 mu_4      0.24      0.06      0.23      0.16      0.34      7.08      1.29

Number of divergences: 0
