
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
       mean_data_4[4]     -0.11      0.01     -0.11     -0.12     -0.09      9.24      1.15
       mean_data_4[5]      0.00      0.01      0.00     -0.02      0.01      7.88      1.31
       mean_data_4[6]     -0.01      0.01     -0.01     -0.03      0.00      6.21      1.53
       mean_data_4[7]     -0.01      0.01     -0.00     -0.02      0.01     20.73      1.08
       mean_data_5[0]     -0.76      0.16     -0.71     -1.02     -0.54      2.93      2.14
       mean_data_5[1]      1.44      0.01      1.44      1.42      1.46      2.91      2.21
       mean_data_5[2]      1.07      0.03      1.06      1.04      1.12      3.30      1.88
       mean_data_5[3]     -0.01      0.01     -0.01     -0.03      0.01      3.31      2.21
       mean_data_5[4]     -0.00      0.02     -0.00     -0.04      0.03      3.82      1.58
       mean_data_5[5]      0.00      0.01      0.00     -0.01      0.02      8.89      0.99
       mean_data_5[6]     -0.01      0.01     -0.01     -0.02      0.01      7.13      1.00
       mean_data_5[7]     -0.00      0.03     -0.00     -0.05      0.05      4.35      1.64
       mean_data_6[0]      6.85      0.00      6.85      6.85      6.86     42.46      1.02
       mean_data_6[1]     -0.65      0.01     -0.65     -0.66     -0.63      5.56      1.56
       mean_data_6[2]      0.30      0.01      0.29      0.28      0.31      8.99      1.39
       mean_data_6[3]     -0.04      0.00     -0.04     -0.05     -0.03      7.99      1.46
       mean_data_6[4]     -0.00      0.00     -0.00     -0.01      0.00    112.49      1.01
       mean_data_6[5]      0.01      0.00      0.01      0.00      0.01     22.36      1.18
       mean_data_6[6]     -0.01      0.00     -0.01     -0.01      0.00      8.54      1.32
       mean_data_6[7]      0.00      0.00      0.00     -0.00      0.01    160.55      1.00
                 mu_1      3.15      0.09      3.15      3.01      3.27      3.35      1.65
                 mu_2      2.92      0.06      2.91      2.84      3.01     75.45      1.00
                 mu_3      1.68      0.01      1.68      1.66      1.70    157.39      1.00
                 mu_4      0.03      0.11     -0.00     -0.12      0.18      2.61      2.81

Number of divergences: 6
