,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,27677198,1e-05
1,20.0,0.0,-7.528112822970442,27677198,1e-05
2,30.0,0.0,-1.0,27677198,1e-05
3,0.0,0.0,-39.0,2256351,1e-05
4,20.0,0.0,-27.643984862248104,2256351,1e-05
5,40.0,0.0,-15.999999999999993,2256351,1e-05
6,0.0,0.0,-61.0,86528925,1e-05
7,20.0,0.0,-48.76716389944798,86528925,1e-05
8,60.0,0.0,-27.0,86528925,1e-05
9,0.0,0.0,-72.0,89870293,1e-05
10,30.0,0.0,-55.5,89870293,1e-05
11,60.0,0.0,-39.0,89870293,1e-05
12,20.0,0.0,-76.88997249676763,52817321,1e-05
13,60.0,0.0,-52.0,52817321,1e-05
14,70.0,0.0,-77.0,18146525,1e-05
15,80.0,0.0,-71.0,18146525,1e-05
